"filename", "language", "GDResource", "GDScript", "GDScene", "gdshader", "Python", "XML", "comment", "blank", "total"
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_01.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_02.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_03.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_04.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_05.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_06.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_07.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_08.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_09.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_10.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_11.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_12.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Green\texture_13.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
